BL-3_x_area_828.rdf	ZoomonlyGP1_xdry-saveimages-v0700.afg	x_area	2/26/2020	17:58	2 min 4 s					
										
BL-3										
NIST										
Vipin										
IN625										
data										
PSD_~13.7g										
										
x [µm] at Q3=10.0 %	18.3									
x [µm] at Q3=50.0 %	30.6									
x [µm] at Q3=90.0 %	48.3									
Mv3(x) [µm]	32.1									
Sigma3(x) [µm]	11.5									
SPAN3	0.979									
U3	1.861									
Q3 (Conv=0.8)	0.00%									
Q3 (b/l=0.8)	30.20%									
Q3 (Symm=0.8)	1.20%									
Q3 (Trans=0.8)	100.00%									
Q3 (b/l=0.9) [%]	63.4									
Q3 (Conv=0.9) [%]	0.1									
Q3 (Trans=0.9) [%]	100									
Mean value SPHT3	0.898									
Mean value Symm3	0.92									
Mean value b/l3	0.842									
Mean value Conv3	0.991									
Mean value Trans3	0.258									
										
Size class	[µm]	p3 [%]	Q3 [%]	xFe_min3 [µm]	xc_min3 [µm]	xFe_max3 [µm]	SPHT3	b/l3	Conv3	x_mean3 [µm]
130	1000000	0	100	0	0	0	1	0	0	500065
129	130	0	100	0	0	0	1	0	0	129.5
128	129	0	100	0	0	0	1	0	0	128.5
127	128	0	100	0	0	0	1	0	0	127.5
126	127	0	100	0	0	0	1	0	0	126.5
125	126	0	100	0	0	0	1	0	0	125.5
124	125	0	100	0	0	0	1	0	0	124.5
123	124	0	100	0	0	0	1	0	0	123.5
122	123	0	100	0	0	0	1	0	0	122.5
121	122	0	100	0	0	0	1	0	0	121.5
120	121	0	100	0	0	0	1	0	0	120.5
119	120	0	100	0	0	0	1	0	0	119.5
118	119	0	100	0	0	0	1	0	0	118.5
117	118	0	100	0	0	0	1	0	0	117.5
116	117	0	100	0	0	0	1	0	0	116.5
115	116	0	100	0	0	0	1	0	0	115.5
114	115	0	100	0	0	0	1	0	0	114.5
113	114	0	100	0	0	0	1	0	0	113.5
112	113	0	100	0	0	0	1	0	0	112.5
111	112	0	100	0	0	0	1	0	0	111.5
