BL-1_x_area_826.rdf	ZoomonlyGP1_xdry-saveimages-v0700.afg	x_area	2/26/2020	17:50	1 min 43 s					
										
BL-1										
NIST										
Vipin										
IN625										
data										
PSD_~13.7g										
										
x [µm] at Q3=10.0 %	18.4									
x [µm] at Q3=50.0 %	30.6									
x [µm] at Q3=90.0 %	49									
Mv3(x) [µm]	32.2									
Sigma3(x) [µm]	11.8									
SPAN3	1.003									
U3	1.854									
Q3 (Conv=0.8)	0.00%									
Q3 (b/l=0.8)	31.60%									
Q3 (Symm=0.8)	1.30%									
Q3 (Trans=0.8)	100.00%									
Q3 (b/l=0.9) [%]	64.7									
Q3 (Conv=0.9) [%]	0.1									
Q3 (Trans=0.9) [%]	100									
Mean value SPHT3	0.895									
Mean value Symm3	0.919									
Mean value b/l3	0.839									
Mean value Conv3	0.991									
Mean value Trans3	0.257									
										
Size class	[µm]	p3 [%]	Q3 [%]	xFe_min3 [µm]	xc_min3 [µm]	xFe_max3 [µm]	SPHT3	b/l3	Conv3	x_mean3 [µm]
130	1000000	0	100	0	0	0	1	0	0	500065
129	130	0	100	0	0	0	1	0	0	129.5
128	129	0	100	0	0	0	1	0	0	128.5
127	128	0	100	0	0	0	1	0	0	127.5
126	127	0	100	0	0	0	1	0	0	126.5
125	126	0	100	0	0	0	1	0	0	125.5
124	125	0	100	0	0	0	1	0	0	124.5
123	124	0	100	0	0	0	1	0	0	123.5
122	123	0	100	0	0	0	1	0	0	122.5
121	122	0	100	0	0	0	1	0	0	121.5
120	121	0	100	0	0	0	1	0	0	120.5
119	120	0	100	0	0	0	1	0	0	119.5
118	119	0	100	0	0	0	1	0	0	118.5
117	118	0	100	0	0	0	1	0	0	117.5
116	117	0	100	0	0	0	1	0	0	116.5
115	116	0	100	0	0	0	1	0	0	115.5
114	115	0	100	0	0	0	1	0	0	114.5
113	114	0	100	0	0	0	1	0	0	113.5
112	113	0	100	0	0	0	1	0	0	112.5
111	112	0	100	0	0	0	1	0	0	111.5
110	111	0	100	0	0	0	1	0	0	110.5
109	110	0	100	0	0	0	1	0	0	109.5
108	109	0	100	0	0	0	1	0	0	108.5
107	108	0	100	0	0	0	1	0	0	107.5
106	107	0	100	0	0	0	1	0	0	106.5
105	106	0	100	0	0	0	1	0	0	105.5
104	105	0	100	0	0	0	1	0	0	104.5
103	104	0	100	0	0	0	1	0	0	103.5
102	103	0	100	0	0	0	1	0	0	102.5
101	102	0	100	0	0	0	1	0	0	101.5
100	101	0	100	0	0	0	1	0	0	100.5
99	100	0	100	0	0	0	1	0	0	99.5
98	99	0	100	0	0	0	1	0	0	98.5
97	98	0	100	0	0	0	1	0	0	97.5
96	97	0	100	0	0	0	1	0	0	96.5
95	96	0	100	0	0	0	1	0	0	95.5
94	95	0	100	0	0	0	1	0	0	94.5
93	94	0	100	0	0	0	1	0	0	93.5
92	93	0	100	0	0	0	1	0	0	92.5
91	92	0	100	0	0	0	1	0	0	91.5
90	91	0	100	0	0	0	1	0	0	90.5
89	90	0	100	0	0	0	1	0	0	89.5
88	89	0	100	0	0	0	1	0	0	88.5
87	88	0	100	0	0	0	1	0	0	87.5
86	87	0	100	0	0	0	1	0	0	86.5
85	86	0	100	0	0	0	1	0	0	85.5
84	85	0	100	0	0	0	1	0	0	84.5
83	84	0	100	0	0	0	1	0	0	83.5
82	83	0	100	0	0	0	1	0	0	82.5
81	82	0	100	0	0	0	1	0	0	81.5
80	81	0	100	0	0	0	1	0	0	80.5
79	80	0	100	60.9	59.7	99.1	0.766	0.603	0.978	79.3
78	79	0.1	100	77.6	74.3	94.4	0.782	0.787	0.975	78.1
77	78	0	99.9	77.6	74.3	94.4	0.783	0.787	0.975	78.1
76	77	0	99.9	0	0	0	1	0	0	76.5
75	76	0	99.9	49.8	48.4	129.6	0.567	0.373	0.921	75.4
74	75	0	99.9	60.9	59.5	99	0.765	0.602	0.977	74
73	74	0	99.9	60.9	59.5	99	0.765	0.602	0.977	74
72	73	0	99.9	55.7	55.2	98	0.783	0.564	0.973	72.6
71	72	0.1	99.9	55.3	54.2	101.5	0.773	0.534	0.979	71.4
70	71	0	99.8	58.4	57.2	89	0.81	0.656	0.984	70.4
69	70	0.1	99.8	55.3	53.8	98.1	0.575	0.551	0.943	69.8
68	69	0	99.7	57	55.7	90.2	0.747	0.618	0.979	68.1
67	68	0.1	99.7	54.5	53.7	90.1	0.766	0.598	0.978	67.5
66	67	0	99.6	50.4	49.1	91.9	0.706	0.536	0.973	67
65	66	0.1	99.6	56.8	52.9	85.5	0.701	0.62	0.943	65.5
64	65	0.1	99.5	52	50.9	85.4	0.78	0.613	0.985	64.7
63	64	0.1	99.4	52.4	51.1	83.9	0.797	0.622	0.982	63.6
62	63	0.3	99.3	55	53.4	75.8	0.828	0.71	0.982	62.5
61	62	0.2	99	54.5	53	75.7	0.813	0.714	0.978	61.4
60	61	0.3	98.8	53.7	52.9	72.8	0.847	0.741	0.986	60.5
59	60	0.2	98.5	53.8	52.9	69.6	0.89	0.772	0.99	59.4
58	59	0.4	98.3	53.3	52.5	67.5	0.892	0.789	0.99	58.5
57	58	0.7	97.9	52.7	52.1	66.6	0.893	0.791	0.99	57.5
56	57	0.7	97.2	51.6	50.7	67.1	0.855	0.768	0.984	56.5
55	56	0.5	96.5	51	50.3	64.5	0.882	0.796	0.987	55.5
54	55	1.2	96	50.4	49.7	62.7	0.879	0.804	0.989	54.5
53	54	0.9	94.8	49.8	49.2	60.8	0.895	0.818	0.99	53.5
52	53	0.9	93.9	49.5	49	59.1	0.896	0.837	0.99	52.5
51	52	1	93	48.8	48.3	57.9	0.885	0.843	0.989	51.5
50	51	0.9	92	47	46.5	57.6	0.893	0.82	0.99	50.5
49	50	1.1	91.1	46.4	45.8	56	0.888	0.826	0.989	49.5
48	49	1.2	90	45.3	44.8	55	0.903	0.823	0.99	48.5
47	48	1.3	88.8	43.9	43.4	54.1	0.898	0.815	0.99	47.5
46	47	1.5	87.5	43.2	42.7	52.9	0.891	0.818	0.988	46.5
45	46	1.5	86	42.2	41.9	51.7	0.898	0.819	0.99	45.5
44	45	1.5	84.5	41.4	40.9	50.3	0.906	0.823	0.989	44.5
43	44	2	83	40.3	39.9	49.4	0.901	0.819	0.989	43.5
42	43	2	81	39.9	39.5	47.7	0.905	0.837	0.989	42.5
41	42	2.1	79	38.7	38.2	47	0.901	0.823	0.988	41.5
40	41	2.2	76.9	37.8	37.4	45.6	0.908	0.829	0.989	40.5
39	40	2.3	74.7	37	36.6	44.4	0.904	0.833	0.988	39.5
38	39	2.5	72.4	35.9	35.6	43	0.917	0.836	0.989	38.5
37	38	2.4	69.9	35.3	35	41.8	0.907	0.845	0.989	37.5
36	37	2.5	67.5	34.1	33.8	40.8	0.911	0.836	0.988	36.5
35	36	2.6	65	33.1	32.8	39.8	0.914	0.834	0.988	35.5
34	35	2.7	62.4	32.4	32.1	38.3	0.914	0.845	0.987	34.5
33	34	2.7	59.7	31.4	31.1	37.4	0.916	0.841	0.988	33.5
32	33	2.8	57	30.4	30.2	36.1	0.914	0.843	0.989	32.5
31	32	2.8	54.2	29.7	29.5	35.1	0.877	0.846	0.99	31.5
30	31	3.2	51.4	28.7	28.4	34.2	0.858	0.837	0.99	30.5
29	30	3.2	48.2	27.8	27.6	32.9	0.869	0.846	0.991	29.5
28	29	3.2	45	26.8	26.5	31.9	0.865	0.837	0.99	28.5
27	28	3.1	41.8	25.9	25.6	30.8	0.868	0.839	0.99	27.5
26	27	3.4	38.7	24.9	24.6	29.6	0.873	0.838	0.991	26.5
25	26	3.2	35.3	24	23.8	28.4	0.874	0.845	0.991	25.5
24	25	3.5	32.1	23.1	22.9	27.1	0.883	0.849	0.992	24.5
23	24	3.4	28.6	22.1	21.9	26.1	0.885	0.847	0.992	23.5
22	23	3.6	25.2	21.2	21	24.8	0.892	0.854	0.993	22.5
21	22	3.4	21.6	20.2	20.1	23.7	0.899	0.855	0.994	21.5
20	21	3.2	18.2	19.3	19.2	22.5	0.905	0.857	0.994	20.5
19	20	3.3	15	18.4	18.2	21.4	0.907	0.859	0.994	19.5
18	19	2.8	11.7	17.4	17.3	20.3	0.907	0.86	0.994	18.5
17	18	2.4	8.9	16.6	16.5	19	0.921	0.873	0.996	17.5
16	17	2	6.5	15.6	15.5	17.9	0.92	0.872	0.996	16.5
15	16	1.4	4.5	14.6	14.6	16.8	0.929	0.874	0.996	15.5
14	15	0.9	3.1	13.7	13.7	15.6	0.932	0.882	0.997	14.5
13	14	0.6	2.2	12.7	12.7	14.5	0.935	0.88	0.997	13.5
12	13	0.4	1.6	11.8	11.8	13.4	0.937	0.882	0.997	12.5
11	12	0.3	1.2	10.8	10.7	12.4	0.933	0.872	0.997	11.5
10	11	0.2	0.9	9.8	9.8	11.3	0.941	0.874	0.998	10.5
9	10	0.2	0.7	8.8	8.8	10.2	0.94	0.872	0.998	9.5
8	9	0.1	0.5	7.8	7.8	9.1	0.936	0.865	0.998	8.5
7	8	0.1	0.4	6.9	6.9	8	0.943	0.872	0.999	7.5
6	7	0.1	0.3	5.9	5.9	6.9	0.938	0.857	0.998	6.5
5	6	0	0.2	5	5	5.7	0.944	0.885	0.999	5.5
4	5	0.1	0.2	4.1	4.1	4.7	0.948	0.868	0.999	4.6
3	4	0	0.1	3.1	3.1	3.7	0.887	0.826	0.992	3.5
2	3	0	0.1	1.9	1.9	2.4	0.872	0.782	0.996	2.3
1	2	0.1	0.1	1.4	1.4	1.7	0.959	0.835	1	1.6
0	1	0	0	0	0	0	1	0	0	0.5
